0,SansAnimation,,,,,,,,
,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,3,80,0.4,0.3,,,,
0,bonestab,2,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,3,80,0.4,0.3,,,,
0,bonestab,2,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,1,80,0.4,0.3,,,,
0,bonestab,0,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,3,80,0.4,0.3,,,,
0,bonestab,0,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,3,80,0.4,0.3,,,,
0,bonestab,2,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,0,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,1,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,1,80,0.4,0.3,,,,
0,bonestab,2,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,1,80,0.4,0.3,,,,
0,bonestab,0,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,3,80,0.4,0.3,,,,
0,bonestab,0,80,0.4,0.3,,,,
1,,,,,,,,,
0,GasterBlaster,3,323.5,308.5,323.5,308.5,120,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,240,0.35,0.1
0,GasterBlaster,3,323.5,308.5,323.5,308.5,360,0.35,0.1
0,GasterBlaster,0,0,0,259,166,90,0.2,0.2
0,GasterBlaster,0,640,480,379,446,270,0.2,0.2
0,GasterBlaster,0,0,480,189,246,0,0.2,0.2
0,GasterBlaster,0,640,480,449,366,180,0.2,0.2
0,bonestab,2,80,0.4,0.3,,,,
0,bonestab,3,80,0.4,0.3,,,,
0.87,,,,,,,,,
,,,,,,,,,
0.1,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.23,BlackScreen,0,,,,,,,
,,,,,,,,,
0,Sound,Flash,,,,,,,
0,sansHead,Noeyes,,,,,,,
3.2,sound,Mus_zz_megalovania,2,,,,,,
0,SansText,too late!,,,,,,,
0,SansText,You have no other way             out of this!,,,,,,,
,,,,,,,,,
0,SansX,323.5,,,,,,,
0,Sound,Flash,,,,,,,
,,,,,,,,,
0,SansHead,tired2,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,SansBody,HandLeft,,,,,,,
0.5,SansAnimation,Tired,,,,,,,
0,Sanssweat,0,,,,,,,
0,SansHead,Default,,,,,,,
3.2,Sound,mus_zz_megalovania,2,,,,,,
1,RND,Direction,4,,,,,,
0,BoneStab,$Direction,20,0.4,,,,,
0,SansSlam,$Direction,,,,,,,
0,SansBody,HandUp,,,,,,,
,,,,,,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
0.55,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,29,0.4,0,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3.2,Sound,mus_zz_megalovania,2,,,,,,
0.3,BoneHRepeat,130,-10,200,1,500,10,250,
0,BoneHRepeat,330,650,200,3,500,10,250,
0.1,HeartMode,0,,,,,,,
5.5,,,,,,,,,
0,ComBatZoneResizeInstant,241,226,406,391,,,,
,,,,,,,,,
0.2,SansSlam,2,,,,,,,
0,SansBody,HandRight,,,,,,,
0,BoneStab,2,30,0.3,0.1,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,
0.4,SansSlam,0,,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,,
0,CombatZoneSpeed,900,,,,,,,
0,CombatZoneResize,241,226,1000,391,,,,
0.33333,HeartMaxFallSpeed,-300,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansRepeat,,,,,,,,
0,CombatZoneResize,-50,226,1000,391,,,,
0.3,CombatZoneSpeed,300,,,,,,,
0,CombatZoneResize,-50,276,1000,391,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,
0,HeartTeleport,40,$HeartY,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,SansSlam,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0.2,BoneH,650,$HeartY,50.5,2,800,,,
0,Sound,Ding,,,,,,,
0.35,,,,,,,,,
0,SineBoneS,90,30,900,27,,,,
3.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,1,,
0,BoneH,650,299,50.5,2,650,1,,
0,BoneH,650,309,50.5,2,650,1,,
0,BoneH,650,319,50.5,2,650,,,
0,BoneH,650,329,50.5,2,650,,,
0,BoneH,650,339,50.5,2,650,,,
0,BoneH,650,349,50.5,2,650,,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,,,
0,BoneH,650,299,50.5,2,650,,,
0,BoneH,650,309,50.5,2,650,,,
0,BoneH,650,319,50.5,2,650,1,,
0,BoneH,650,329,50.5,2,650,1,,
0,BoneH,650,339,50.5,2,650,1,,
0,BoneH,650,349,50.5,2,650,,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,,,
0,BoneH,650,299,50.5,2,650,,,
0,BoneH,650,309,50.5,2,650,,,
0,BoneH,650,319,50.5,2,650,,,
0,BoneH,650,329,50.5,2,650,1,,
0,BoneH,650,339,50.5,2,650,1,,
0,BoneH,650,349,50.5,2,650,1,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,,,
0,BoneH,650,299,50.5,2,650,,,
0,BoneH,650,309,50.5,2,650,,,
0,BoneH,650,319,50.5,2,650,,,
0,BoneH,650,329,50.5,2,650,,,
0,BoneH,650,339,50.5,2,650,,,
0,BoneH,650,349,50.5,2,650,1,,
0,BoneH,650,359,50.5,2,650,1,,
0,BoneH,650,369,50.5,2,650,1,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,,,
0,BoneH,650,299,50.5,2,650,,,
0,BoneH,650,309,50.5,2,650,,,
0,BoneH,650,319,50.5,2,650,,,
0,BoneH,650,329,50.5,2,650,1,,
0,BoneH,650,339,50.5,2,650,1,,
0,BoneH,650,349,50.5,2,650,1,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,,,
0,BoneH,650,299,50.5,2,650,,,
0,BoneH,650,309,50.5,2,650,,,
0,BoneH,650,319,50.5,2,650,1,,
0,BoneH,650,329,50.5,2,650,1,,
0,BoneH,650,339,50.5,2,650,1,,
0,BoneH,650,349,50.5,2,650,,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
0.4,,,,,,,,,
0,BoneH,650,279,50.5,2,650,,,
0,BoneH,650,289,50.5,2,650,1,,
0,BoneH,650,299,50.5,2,650,1,,
0,BoneH,650,309,50.5,2,650,1,,
0,BoneH,650,319,50.5,2,650,,,
0,BoneH,650,329,50.5,2,650,,,
0,BoneH,650,339,50.5,2,650,,,
0,BoneH,650,349,50.5,2,650,,,
0,BoneH,650,359,50.5,2,650,,,
0,BoneH,650,369,50.5,2,650,,,
0,BoneH,650,379,50.5,2,650,,,
1.13,HeartMaxFallSpeed,750,,,,,,,
0,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,36,0.3,0.2,,,,
0.67,,,,,,,,,
0,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,BoneStab,3,36,0.3,0.2,,,,
0.67,,,,,,,,,
0,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,36,0.3,0.2,,,,
0,BoneStab,3,36,0.3,0.2,,,,
0.67,,,,,,,,,
0,SansSlam,3,,,,,,,
